id_vivienda,id_hogar,region,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNOPTVHLOKRCDEFJAH00803557,1,43,2,1990-10-10 00:00:00,33,1,6,-9.0,2,2,1
TQRMNOPTVHLOKRCDEFJAH00803557,1,43,1,1991-06-25 00:00:00,33,1,6,-9.0,2,2,1
TQRMNOQPRHKLKNCDEFJAH00868631,1,43,1,1943-04-22 00:00:00,81,1,6,1750000.0,2,2,2
TQRMNOQPRHKLKNCDEFJAH00868631,1,43,2,1945-09-28 00:00:00,78,3,6,400000.0,2,2,2
TQRMNORVXHKLKNCDEFJAH00868632,1,43,1,1958-12-28 00:00:00,65,1,4,1200000.0,2,1,1
TQRMNORVXHKLKNCDEFJAH00868632,1,43,2,1958-02-19 00:00:00,66,1,4,435600.0,2,1,1
TQRMNORVXHKLKNCDEFJAH00868632,1,43,1,1994-08-14 00:00:00,30,1,5,1125000.0,2,1,1
TQRMNQYTSHMOKQCDEFJAH00851671,1,43,1,1961-03-20 00:00:00,63,1,3,-9.0,2,2,2
TQRMNQYTSHMOKQCDEFJAH00851671,1,43,2,1963-10-21 00:00:00,60,3,3,0.0,2,2,2
TQRMNQYTSHMOKQCDEFJAH00851671,1,43,2,2002-03-17 00:00:00,22,2,4,0.0,2,2,2
TQRMNORQRHLMLLCDEGKDB00805055,1,43,1,1949-06-04 00:00:00,75,3,3,350000.0,2,2,2
TQRMNORQRHLMLLCDEGKDB00805055,1,43,2,1974-11-30 00:00:00,49,1,5,-9.0,2,2,2
TQRMNOQVTHMLLNCDEGKDB00810177,1,43,1,1996-06-01 00:00:00,28,1,6,500000.0,2,2,1
TQRMNOQVTHMLLNCDEGKDB00810177,1,43,2,1991-12-03 00:00:00,32,1,5,320000.0,2,2,1
TQRMNOPRYHKMLMCDEGKDB00868633,1,43,1,1986-10-12 00:00:00,38,1,4,1300000.0,2,1,1
TQRMNOPRYHKMLMCDEGKDB00868633,1,43,2,1987-07-25 00:00:00,37,1,6,300000.0,2,1,1
TQRMNOQTTHLOLSCDEIJAH00807503,1,1,2,2013-01-24 00:00:00,11,3,1,0.0,2,2,1
TQRMNOUXSHLOLSCDEIJAH00807505,1,1,1,1900-01-01 00:00:00,49,1,3,-9.0,1,1,2
TQRMNOUXSHLOLSCDEIJAH00807505,1,1,1,1900-01-01 00:00:00,22,1,3,-9.0,1,1,2
TQRMNOUXSHLOLSCDEIJAH00807505,1,1,1,1900-01-01 00:00:00,16,3,3,0.0,1,1,2
TQRMNOUXSHLOLSCDEIJAH00807505,1,1,2,1947-09-14 00:00:00,77,3,1,280000.0,1,1,2
TQRMNOPRQHJMMPCDEIJAH00862983,1,1,1,1972-08-02 00:00:00,52,1,5,300000.0,2,2,1
TQRMNOPRQHJMMPCDEIJAH00862983,1,1,2,1979-11-18 00:00:00,44,3,4,0.0,2,2,1
TQRMNOPRQHJMMPCDEIJAH00862983,1,1,2,2011-07-05 00:00:00,13,3,3,0.0,2,2,1
TQRMNOPRQHJMMPCDEIJAH00862983,1,1,1,2015-12-18 00:00:00,8,4,1,0.0,2,2,1
TQRMNOPRQHJMMPCDEIJAH00862983,1,1,2,2019-06-01 00:00:00,5,4,7,0.0,2,2,1
TQRMNOPVTHLMLTCDEIJAH00807506,1,1,2,1930-12-11 00:00:00,93,3,2,200000.0,2,2,1
TQRMNOPVTHLMLTCDEIJAH00807506,1,1,2,1962-05-21 00:00:00,62,1,6,1300000.0,2,2,1
TQRMNOSXTHLMLTCDEIJAH00863021,1,1,1,1980-04-02 00:00:00,44,1,4,1000000.0,2,2,1
TQRMNOSXTHLMLTCDEIJAH00863021,1,1,2,1986-06-23 00:00:00,38,3,4,500000.0,2,2,1
TQRMNOSXTHLMLTCDEIJAH00863021,1,1,1,2005-04-20 00:00:00,19,1,4,400000.0,2,2,1
TQRMNOSXTHLMLTCDEIJAH00863021,1,1,1,2008-04-05 00:00:00,16,3,3,16000.0,2,2,1
TQRMNOSXTHLMLTCDEIJAH00863021,1,1,2,2013-08-25 00:00:00,11,3,1,0.0,2,2,1
TQRMNOSRXHLMMLCDEIJAH00807790,1,1,2,1967-05-18 00:00:00,57,1,5,120000.0,2,2,2
TQRMNORQPHLMLLCDEHLEH00806091,1,40,1,1900-01-01 00:00:00,56,1,2,-9.0,2,2,1
TQRMNORQPHLMLLCDEHLEH00806091,1,40,1,1900-01-01 00:00:00,46,3,2,-9.0,2,2,1
TQRMNORQPHLMLLCDEHLEH00806091,1,40,1,1900-01-01 00:00:00,53,1,2,320000.0,2,2,1
TQRMNORQPHLMLLCDEHLEH00806091,1,40,2,1900-01-01 00:00:00,42,1,2,350000.0,2,2,1
TQRMNORQPHLMLLCDEHLEH00806091,1,40,1,1900-01-01 00:00:00,24,1,4,320000.0,2,2,1
TQRMNOTRYHLOLMCDEHLEH00806097,1,40,2,1999-08-18 00:00:00,24,3,5,120000.0,2,2,2
TQRMNOSPRHJLKTCDEHLEH00863255,1,40,2,1900-01-01 00:00:00,44,1,4,350000.0,2,2,2
TQRMNOSPRHJLKTCDEHLEH00863255,1,40,1,1900-01-01 00:00:00,37,1,4,400000.0,2,2,2
TQRMNOSPRHJLKTCDEHLEH00863255,1,40,1,1900-01-01 00:00:00,8,4,1,0.0,2,2,2
TQRMNOSPRHJLKTCDEHLEH00863255,1,40,1,1900-01-01 00:00:00,18,1,4,130000.0,2,2,2
TQRMNOQQSHJMKUCDEHLEH00863256,1,40,1,1900-01-01 00:00:00,48,3,6,650000.0,2,2,1
TQRMNOQQSHJMKUCDEHLEH00863256,1,40,2,1900-01-01 00:00:00,49,1,6,450000.0,2,2,1
TQRMNOQQSHJMKUCDEHLEH00863256,1,40,1,1900-01-01 00:00:00,19,3,5,0.0,2,2,1
TQRMNOQQSHJMKUCDEHLEH00863256,1,40,1,1900-01-01 00:00:00,18,3,3,0.0,2,2,1
TQRMNOQQSHJMKUCDEHLEH00863256,1,40,1,1900-01-01 00:00:00,9,4,1,0.0,2,2,1
TQRMNOSPTHLOLNCDEHLEH00806098,1,40,1,1900-01-01 00:00:00,56,1,3,450000.0,1,2,1
TQRMNOSPTHLOLNCDEHLEH00806098,1,40,2,1900-01-01 00:00:00,55,3,4,0.0,1,2,1
TQRMNOPSWHLOKPCDEFOCD00804316,1,41,1,1948-07-14 00:00:00,76,1,1,365454.0,2,2,1
TQRMNOPSWHLOKPCDEFOCD00804316,1,41,2,1986-06-07 00:00:00,38,1,4,-9.0,2,2,1
TQRMNOPSYHLOKPCDEFOCD00804317,1,41,2,1991-02-02 00:00:00,33,3,4,0.0,2,2,1
TQRMNOPSYHLOKPCDEFOCD00804317,1,41,1,1984-10-25 00:00:00,39,1,4,100000.0,2,2,1
TQRMNOPSYHLOKPCDEFOCD00804317,1,41,2,2009-09-30 00:00:00,14,3,3,0.0,2,2,1
TQRMNOPSYHLOKPCDEFOCD00804317,1,41,1,2011-05-01 00:00:00,13,3,1,0.0,2,2,1
TQRMNOPSYHLOKPCDEFOCD00804317,1,41,1,2016-04-16 00:00:00,8,4,1,0.0,2,2,1
TQRMNOSXVHJLKQCDEFOCD00863091,1,41,2,1971-09-08 00:00:00,53,1,6,-9.0,2,2,1
TQRMNOSXVHJLKQCDEFOCD00863091,1,41,2,2004-04-15 00:00:00,20,3,5,0.0,2,2,1
TQRMNOSXVHJLKQCDEFOCD00863091,1,41,1,2005-07-15 00:00:00,19,3,5,0.0,2,2,1
TQRMNOSXVHJLKQCDEFOCD00863091,1,41,1,2008-09-22 00:00:00,16,3,3,0.0,2,2,1
TQRMNOTYTHJLKQCDEFOCD00863911,1,41,2,2000-05-25 00:00:00,24,1,5,370000.0,2,2,1
TQRMNOSTUHKKKNCDEOHCH00868730,1,44,1,1958-11-24 00:00:00,65,3,4,500000.0,2,2,2
TQRMNOSTUHKKKNCDEOHCH00868730,1,44,2,1958-06-18 00:00:00,66,3,4,500000.0,2,2,2
TQRMNOTXRHJKKMCDEOHCH00863233,1,44,2,1950-03-04 00:00:00,74,3,6,-9.0,2,2,2
TQRMNORUYHMMKOCDEOHCH00856124,1,44,2,1958-10-03 00:00:00,66,3,1,600000.0,2,2,1
TQRMNORUYHMMKOCDEOHCH00856124,1,44,1,1947-12-05 00:00:00,76,3,1,380000.0,2,2,1
TQRMNORUYHMMKOCDEOHCH00856124,1,44,1,1990-10-11 00:00:00,33,3,1,210000.0,2,2,1
TQRMNORVSHKMLRCDEFJAH00868765,1,43,2,1958-01-18 00:00:00,66,3,2,379000.0,2,2,2
TQRMNOPSWHLMLPCDEFJAH00803588,1,43,1,1957-08-09 00:00:00,66,1,3,420000.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,43,2,1985-05-17 00:00:00,39,2,2,250000.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,43,2,2006-02-20 00:00:00,18,2,2,150000.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,43,1,2013-07-25 00:00:00,11,3,1,0.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,43,1,2015-01-06 00:00:00,9,4,1,0.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,43,1,2018-11-08 00:00:00,5,4,1,0.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,43,1,2023-11-12 00:00:00,-1,4,7,0.0,1,2,2
TQRMNOTQYHMOKSCDEHPJB00811608,1,40,2,1977-05-12 00:00:00,47,3,2,80000.0,2,2,2
TQRMNOTQYHMOKSCDEHPJB00811608,1,40,1,2000-05-11 00:00:00,24,1,5,304000.0,2,2,2
TQRMNOTQYHMOKSCDEHPJB00811608,1,40,1,2002-05-28 00:00:00,22,1,3,600000.0,2,2,2
TQRMNOTQYHMOKSCDEHPJB00811608,1,40,1,2005-06-26 00:00:00,19,1,2,156000.0,2,2,2
