id_vivienda,id_hogar,sexo,fecha_nacimiento,edad,estado_actividad,nivel_educativo,ingreso,prestamo_personas,prestamo_banco,compra_cuotas
TQRMNOQPRHKLKNCDEFJAH00868631,1,1,1943-04-22 00:00:00,81,1,6,1750000.0,2,2,2
TQRMNOQPRHKLKNCDEFJAH00868631,1,2,1945-09-28 00:00:00,78,3,6,400000.0,2,2,2
TQRMNORVXHKLKNCDEFJAH00868632,1,1,1958-12-28 00:00:00,65,1,4,1200000.0,2,1,1
TQRMNORVXHKLKNCDEFJAH00868632,1,2,1958-02-19 00:00:00,66,1,4,435600.0,2,1,1
TQRMNORVXHKLKNCDEFJAH00868632,1,1,1994-08-14 00:00:00,30,1,5,1125000.0,2,1,1
TQRMNORQRHLMLLCDEGKDB00805055,1,1,1949-06-04 00:00:00,75,3,3,350000.0,2,2,2
TQRMNOQVTHMLLNCDEGKDB00810177,1,1,1996-06-01 00:00:00,28,1,6,500000.0,2,2,1
TQRMNOQVTHMLLNCDEGKDB00810177,1,2,1991-12-03 00:00:00,32,1,5,320000.0,2,2,1
TQRMNOPRYHKMLMCDEGKDB00868633,1,1,1986-10-12 00:00:00,38,1,4,1300000.0,2,1,1
TQRMNOPRYHKMLMCDEGKDB00868633,1,2,1987-07-25 00:00:00,37,1,6,300000.0,2,1,1
TQRMNORVSHKMLRCDEFJAH00868765,1,2,1958-01-18 00:00:00,66,3,2,379000.0,2,2,2
TQRMNOPSWHLMLPCDEFJAH00803588,1,1,1957-08-09 00:00:00,66,1,3,420000.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,2,1985-05-17 00:00:00,39,2,2,250000.0,1,2,2
TQRMNORYXHJMLNCDEFJAH00863227,1,2,2006-02-20 00:00:00,18,2,2,150000.0,1,2,2
TQRMNOSSPHMOLTCDEFIAH00808658,1,2,1978-11-02 00:00:00,45,1,2,340000.0,2,2,2
TQRMNOSUYHMOLTCDEFIAH00808659,1,1,1966-09-29 00:00:00,57,1,6,800000.0,2,2,2
TQRMNOQQTHJMLUCDEFIAH00868836,1,2,1960-06-21 00:00:00,64,3,4,200000.0,2,2,2
TQRMNOQQTHJMLUCDEFIAH00868836,1,1,1956-12-22 00:00:00,67,3,3,500000.0,2,2,2
TQRMNOUUQHKOLTCDEFIAH00868837,1,2,1956-07-27 00:00:00,68,3,6,400000.0,2,2,2
